seed,layer,epsilon,cc,tag,mode,K,N,component,label,label_is_parse_error,mean_abs_score,winner_freq,mean_share,evr
0,13,1.0,ambig,flip,chosen,10,200,0,MANUAL,False,0.1513139009475708,0.20999999344348907,0.1604873239994049,0.1361442357301712
0,13,1.0,ambig,flip,chosen,10,200,1,MANUAL,False,0.1466558873653412,0.3050000071525574,0.1551673263311386,0.11839737743139267
0,13,1.0,ambig,flip,chosen,10,200,2,MANUAL,False,0.11760072410106659,0.18000000715255737,0.1208077222108841,0.08895120769739151
0,13,1.0,ambig,flip,chosen,10,200,3,MANUAL,False,0.1106685921549797,0.16500000655651093,0.11648938804864883,0.07177620381116867
0,13,1.0,ambig,flip,chosen,10,200,4,MANUAL,False,0.09050563722848892,0.029999999329447746,0.09267432987689972,0.04719807580113411
0,13,1.0,ambig,flip,chosen,10,200,5,MANUAL,False,0.08527784049510956,0.07000000029802322,0.0906582623720169,0.04185725748538971
0,13,1.0,ambig,flip,chosen,10,200,6,MANUAL,False,0.0719812661409378,0.014999999664723873,0.07639528065919876,0.02919159270823002
0,13,1.0,ambig,flip,chosen,10,200,7,MANUAL,False,0.06636790186166763,0.009999999776482582,0.06913332641124725,0.025834213942289352
0,13,1.0,ambig,flip,chosen,10,200,9,MANUAL,False,0.05585060268640518,0.009999999776482582,0.05993812531232834,0.01891881227493286
0,13,1.0,ambig,flip,chosen,10,200,8,MANUAL,False,0.055113814771175385,0.004999999888241291,0.05824888125061989,0.0202993955463171
0,13,1.0,ambig,flip,rejected,10,200,0,MANUAL,False,0.1675145924091339,0.4399999976158142,0.19879308342933655,0.15983569622039795
0,13,1.0,ambig,flip,rejected,10,200,2,MANUAL,False,0.10790196061134338,0.16500000655651093,0.12549187242984772,0.07196293026208878
0,13,1.0,ambig,flip,rejected,10,200,1,MANUAL,False,0.10602875053882599,0.17499999701976776,0.11828327924013138,0.07863568514585495
0,13,1.0,ambig,flip,rejected,10,200,3,MANUAL,False,0.08401958644390106,0.04500000178813934,0.09065140038728714,0.05721405893564224
0,13,1.0,ambig,flip,rejected,10,200,4,MANUAL,False,0.07541699707508087,0.03999999910593033,0.08251378685235977,0.045994874089956284
0,13,1.0,ambig,flip,rejected,10,200,5,MANUAL,False,0.07522117346525192,0.07000000029802322,0.08846279233694077,0.040292736142873764
0,13,1.0,ambig,flip,rejected,10,200,6,MANUAL,False,0.06884869188070297,0.019999999552965164,0.0805729404091835,0.0314515046775341
0,13,1.0,ambig,flip,rejected,10,200,7,MANUAL,False,0.06458361446857452,0.02500000037252903,0.07635442912578583,0.026080476120114326
0,13,1.0,ambig,flip,rejected,10,200,8,MANUAL,False,0.060773640871047974,0.009999999776482582,0.07135690003633499,0.024019183591008186
0,13,1.0,ambig,flip,rejected,10,200,9,MANUAL,False,0.058007799088954926,0.009999999776482582,0.06751952320337296,0.02027442865073681
0,13,1.0,ambig,noflip,chosen,10,200,0,MANUAL,False,0.3310534358024597,0.5699999928474426,0.25436168909072876,0.3225350081920624
0,13,1.0,ambig,noflip,chosen,10,200,2,MANUAL,False,0.1537712812423706,0.15000000596046448,0.13173118233680725,0.07203266024589539
0,13,1.0,ambig,noflip,chosen,10,200,1,MANUAL,False,0.15317997336387634,0.125,0.12249623239040375,0.08735094219446182
0,13,1.0,ambig,noflip,chosen,10,200,3,MANUAL,False,0.12263980507850647,0.07000000029802322,0.10086662322282791,0.04981094226241112
0,13,1.0,ambig,noflip,chosen,10,200,4,MANUAL,False,0.111798956990242,0.029999999329447746,0.08902215957641602,0.04155536741018295
0,13,1.0,ambig,noflip,chosen,10,200,5,MANUAL,False,0.09413668513298035,0.02500000037252903,0.07404855638742447,0.030071401968598366
0,13,1.0,ambig,noflip,chosen,10,200,7,MANUAL,False,0.07794757187366486,0.004999999888241291,0.06267201155424118,0.020469270646572113
0,13,1.0,ambig,noflip,chosen,10,200,6,MANUAL,False,0.0759722888469696,0.009999999776482582,0.05825304985046387,0.024425476789474487
0,13,1.0,ambig,noflip,chosen,10,200,9,MANUAL,False,0.06639090180397034,0.009999999776482582,0.054578594863414764,0.014501689001917839
0,13,1.0,ambig,noflip,chosen,10,200,8,MANUAL,False,0.06540153175592422,0.004999999888241291,0.051969919353723526,0.015888400375843048
0,13,1.0,ambig,noflip,rejected,10,200,0,MANUAL,False,0.3544415235519409,0.7649999856948853,0.30115458369255066,0.3645990192890167
0,13,1.0,ambig,noflip,rejected,10,200,1,MANUAL,False,0.13862943649291992,0.07500000298023224,0.11532095074653625,0.07019412517547607
0,13,1.0,ambig,noflip,rejected,10,200,2,MANUAL,False,0.11429047584533691,0.07999999821186066,0.10236887633800507,0.04785504564642906
0,13,1.0,ambig,noflip,rejected,10,200,3,MANUAL,False,0.10690004378557205,0.02500000037252903,0.08802513033151627,0.041222989559173584
0,13,1.0,ambig,noflip,rejected,10,200,4,MANUAL,False,0.08990448713302612,0.03999999910593033,0.07323018461465836,0.03500909358263016
0,13,1.0,ambig,noflip,rejected,10,200,5,MANUAL,False,0.08927944302558899,0.009999999776482582,0.07318858057260513,0.03055521473288536
0,13,1.0,ambig,noflip,rejected,10,200,6,MANUAL,False,0.07871150225400925,0.004999999888241291,0.06645657122135162,0.023338664323091507
0,13,1.0,ambig,noflip,rejected,10,200,8,MANUAL,False,0.07147365808486938,0.0,0.06451737135648727,0.0166343841701746
0,13,1.0,ambig,noflip,rejected,10,200,7,MANUAL,False,0.06807616353034973,0.0,0.05724518373608589,0.018791740760207176
0,13,1.0,ambig,noflip,rejected,10,200,9,MANUAL,False,0.06720831245183945,0.0,0.05849255248904228,0.015491222962737083
0,13,1.0,disambig,flip,chosen,10,200,0,MANUAL,False,0.16995635628700256,0.375,0.19389507174491882,0.1622733324766159
0,13,1.0,disambig,flip,chosen,10,200,1,MANUAL,False,0.12418859452009201,0.23999999463558197,0.13820567727088928,0.11289280652999878
0,13,1.0,disambig,flip,chosen,10,200,2,MANUAL,False,0.1099519431591034,0.11999999731779099,0.12278074026107788,0.07613302767276764
