direction_id,direction_source_dataset,direction_label,flip_rate_source,flip_rate_others_mean,flip_rate_gap_source_minus_others,mean_delta_margin_source,mean_delta_margin_others_mean,delta_margin_gap_source_minus_others,mean_clean_margin_source,mean_adv_margin_source,n_base_source
bbq:c0,bbq,Empathy and Assertiveness Direction,0.0,0.025122549019607844,-0.025122549019607844,0.49960123697916664,-0.09116668701171875,0.5907679239908854,-1.2208333333333334,-0.7212320963541666,6
gsm_mc:c0,gsm_mc,Reward Model Efficacy,0.0,0.010416666666666666,-0.010416666666666666,0.206396484375,0.07783355712890624,0.12856292724609375,2.056591796875,2.26298828125,25
math_mc:c0,math_mc,Mathematical Problem Solving Quality,0.041666666666666664,0.06724211423699915,-0.025575447570332484,-0.163323974609375,-0.08730824788411458,-0.07601572672526043,2.106797281901042,1.9434733072916666,24
mmlu:c0,mmlu,Moral Judgment Direction,0.0,0.0,0.0,0.17007853190104166,0.07453358968098958,0.09554494222005208,1.1044657389322916,1.2745442708333334,23
sgxs:c0,sgxs,Safety vs. Harmful Queries,0.11764705882352941,0.041666666666666664,0.07598039215686275,0.043229166666666666,0.0030131022135416706,0.04021606445312499,0.2140625,0.25729166666666664,17
