seed,layer,epsilon,cc,tag,mode,component,label,field,pearson_corr
0,13,1.0,ambig,flip,chosen,3,MANUAL,delta_global_l2,0.09321610250885823
0,13,1.0,ambig,flip,chosen,4,MANUAL,delta_global_l2,0.05378087760881331
0,13,1.0,ambig,flip,chosen,5,MANUAL,delta_global_l2,0.2516133007060236
0,13,1.0,ambig,flip,chosen,6,MANUAL,delta_global_l2,0.10085343896940321
0,13,1.0,ambig,flip,chosen,7,MANUAL,delta_global_l2,-0.12782073815056236
0,13,1.0,ambig,flip,chosen,8,MANUAL,delta_global_l2,0.0034856928777751476
0,13,1.0,ambig,flip,chosen,9,MANUAL,delta_global_l2,-0.07505424684429146
0,13,1.0,ambig,flip,chosen,0,MANUAL,delta_max_token_l2,0.07889847401059079
0,13,1.0,ambig,flip,chosen,1,MANUAL,delta_max_token_l2,0.0733562960655784
0,13,1.0,ambig,flip,chosen,2,MANUAL,delta_max_token_l2,-0.04517560254960912
0,13,1.0,ambig,flip,chosen,3,MANUAL,delta_max_token_l2,-0.008169939630304704
0,13,1.0,ambig,flip,chosen,4,MANUAL,delta_max_token_l2,-0.051738626581346044
0,13,1.0,ambig,flip,chosen,5,MANUAL,delta_max_token_l2,0.07753756478139198
0,13,1.0,ambig,flip,chosen,6,MANUAL,delta_max_token_l2,0.11601737015763246
0,13,1.0,ambig,flip,chosen,7,MANUAL,delta_max_token_l2,-0.03980871108883788
0,13,1.0,ambig,flip,chosen,8,MANUAL,delta_max_token_l2,-0.07123868735882091
0,13,1.0,ambig,flip,chosen,9,MANUAL,delta_max_token_l2,0.040748749043458904
0,13,1.0,ambig,flip,chosen,0,MANUAL,delta_mean_token_l2,0.04331437989542955
0,13,1.0,ambig,flip,chosen,1,MANUAL,delta_mean_token_l2,0.11628671733514685
0,13,1.0,ambig,flip,chosen,2,MANUAL,delta_mean_token_l2,-0.07315947929828766
0,13,1.0,ambig,flip,chosen,3,MANUAL,delta_mean_token_l2,-0.0039454415402688705
0,13,1.0,ambig,flip,chosen,4,MANUAL,delta_mean_token_l2,0.042218368172980476
0,13,1.0,ambig,flip,chosen,5,MANUAL,delta_mean_token_l2,-0.0008143878375152853
0,13,1.0,ambig,flip,chosen,6,MANUAL,delta_mean_token_l2,-0.08870955980354919
0,13,1.0,ambig,flip,chosen,7,MANUAL,delta_mean_token_l2,0.22266856526490783
0,13,1.0,ambig,flip,chosen,8,MANUAL,delta_mean_token_l2,-0.033712738102932384
