layer,epsilon,cc,tag,mode,K,N,seed_a,seed_b,mean_cosine,min_cosine,mean_score_corr,min_score_corr,mean_label_jaccard
21,2.0,ambig,flip,chosen,10,200,0,1,0.29218430295586584,-0.03450344502925873,0.014024049260093124,-0.20922188874448805,1.0
21,2.0,ambig,flip,rejected,10,200,0,1,0.45794352404773236,-0.027205269783735275,0.07574645273606026,-0.07242482226400725,1.0
21,2.0,ambig,noflip,chosen,10,200,0,1,0.2930368147790432,0.013843294233083725,0.03169127770138075,-0.12676931512521997,1.0
21,2.0,ambig,noflip,rejected,10,200,0,1,0.4167139230296016,0.019559545442461967,0.020227883949161245,-0.1527234496241724,1.0
21,2.0,disambig,flip,chosen,10,200,0,1,0.4654061641544104,0.054963719099760056,0.11221900163884935,-0.11363520704585917,1.0
21,2.0,disambig,flip,rejected,10,200,0,1,0.4761225715279579,-0.08293524384498596,0.09425982680426573,-0.07728073062265489,1.0
21,2.0,disambig,noflip,chosen,10,200,0,1,0.4012080503627658,-0.06748674809932709,0.035447725735535666,-0.09139881588120913,1.0
21,2.0,disambig,noflip,rejected,10,200,0,1,0.5160323649644851,0.21869635581970215,0.016475770225706628,-0.09349465124728326,1.0
21,2.8,ambig,flip,chosen,10,200,0,1,0.26535425838083027,-0.0294375978410244,0.027913921324697576,-0.09637450900996596,1.0
21,2.8,ambig,flip,rejected,10,200,0,1,0.46862093508243563,0.2139803171157837,0.13112337082329498,-0.020639355024404307,1.0
21,2.8,ambig,noflip,chosen,10,200,0,1,0.39622838199138644,-0.11179937422275543,0.01998792372693724,-0.12298151169036951,1.0
21,2.8,ambig,noflip,rejected,10,200,0,1,0.3437210969626904,-0.003890249878168106,0.02014748110079411,-0.12495260407885474,1.0
21,2.8,disambig,flip,chosen,10,200,0,1,0.444184300780762,-0.10354088246822357,0.12411721965124727,-0.09018310202097712,1.0
21,2.8,disambig,flip,rejected,10,200,0,1,0.534794039092958,-0.05419648438692093,0.10632549109972386,-0.028644351340337642,1.0
21,2.8,disambig,noflip,chosen,10,200,0,1,0.47287920489907265,0.06563235074281693,0.02163315989823448,-0.05544082591216822,1.0
21,2.8,disambig,noflip,rejected,10,200,0,1,0.4560792699456215,0.07926856726408005,0.05387397039199323,-0.05768040689409947,1.0
