direction_id,direction_source_dataset,direction_component,direction_label,direction_is_global_baseline,target_dataset,alpha,n_examples,n_base,flip_rate,flip_rate_ci_lo,flip_rate_ci_hi,mean_delta_margin,mean_delta_margin_ci_lo,mean_delta_margin_ci_hi,mean_clean_margin,mean_adv_margin
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,gsm_mc,0.3,100,67,0.014925373134328358,0.0,0.04477611940298507,0.0284765625,0.00835906982421875,0.049740478515624985,1.21274169921875,1.24121826171875
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,math_mc,0.3,100,75,0.013333333333333334,0.0,0.04,0.05971664428710938,0.03717836380004883,0.08352175903320312,2.0797071838378907,2.139423828125
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,mmlu,0.3,100,72,0.013888888888888888,0.0,0.041666666666666664,0.026163673400878905,0.00972573757171631,0.04324922275543212,0.9611672592163086,0.9873309326171875
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,sgxs,0.3,100,50,0.06,0.0,0.14,-0.00828125,-0.020316406250000002,0.0053242187499999896,0.0525,0.04421875
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,bbq,0.5,100,38,0.0,0.0,0.0,0.0253778076171875,0.005474945068359376,0.045876785278320314,-0.5638653564453125,-0.538487548828125
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,gsm_mc,0.5,100,67,0.014925373134328358,0.0,0.04477611940298507,0.04414794921875,0.016953308105468752,0.07192388916015624,1.21274169921875,1.2568896484375
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,math_mc,0.5,100,75,0.0,0.0,0.0,0.08335678100585937,0.05046809387207031,0.1164707794189453,2.0797071838378907,2.16306396484375
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,mmlu,0.5,100,72,0.0,0.0,0.0,0.050081520080566405,0.02594164752960205,0.07445511531829833,0.9611672592163086,1.011248779296875
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,sgxs,0.5,100,50,0.06,0.0,0.14,-0.00515625,-0.020472656250000002,0.010628906249999997,0.0525,0.04734375
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,bbq,1.0,100,38,0.0,0.0,0.0,0.041175537109375,0.008948905944824219,0.07228505706787107,-0.5638653564453125,-0.5226898193359375
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,gsm_mc,1.0,100,67,0.014925373134328358,0.0,0.04477611940298507,0.08832275390625,0.0388800048828125,0.139661865234375,1.21274169921875,1.301064453125
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,math_mc,1.0,100,75,0.013333333333333334,0.0,0.04,0.15607406616210937,0.09992654418945313,0.21498606872558593,2.0797071838378907,2.23578125
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,mmlu,1.0,100,72,0.0,0.0,0.0,0.1006833267211914,0.06273080444335938,0.14188640785217285,0.9611672592163086,1.0618505859375
gsm_mc:c0,gsm_mc,0,Reward Model Efficacy,False,sgxs,1.0,100,50,0.02,0.0,0.06,0.0053125,-0.015625,0.02735546874999999,0.0525,0.0578125
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,bbq,0.1,100,38,0.0,0.0,0.0,0.009647350311279296,-0.0033220024108886717,0.022609874725341796,-0.5638653564453125,-0.5542180061340332
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,gsm_mc,0.1,100,67,0.0,0.0,0.0,-0.0194189453125,-0.03334640502929688,-0.005982391357421877,1.21274169921875,1.19332275390625
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,math_mc,0.1,100,75,0.0,0.0,0.0,-0.01613128662109375,-0.031084568023681643,-0.0011794013977050807,2.0797071838378907,2.063575897216797
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,mmlu,0.1,100,72,0.0,0.0,0.0,-0.010321998596191406,-0.022938124656677248,0.00261023902893066,0.9611672592163086,0.9508452606201172
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,sgxs,0.1,100,50,0.02,0.0,0.06,0.005625,-0.0057851562499999995,0.0171875,0.0525,0.058125
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,bbq,0.3,100,38,0.02631578947368421,0.0,0.07894736842105263,-0.003578605651855469,-0.01756918716430664,0.009754229545593261,-0.5638653564453125,-0.567443962097168
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,gsm_mc,0.3,100,67,0.014925373134328358,0.0,0.04477611940298507,-0.03851654052734375,-0.05864105224609375,-0.01894549560546875,1.21274169921875,1.1742251586914063
