direction_id,alpha,direction_source_dataset,direction_label,direction_is_global_baseline,flip_rate_source,flip_rate_others_mean,flip_rate_gap_source_minus_others,flip_rate_gap_boot,flip_rate_gap_ci_lo,flip_rate_gap_ci_hi,n_base_source,n_base_others,mean_delta_margin_source,mean_delta_margin_others_mean,delta_margin_gap_source_minus_others,delta_margin_gap_boot,delta_margin_gap_ci_lo,delta_margin_gap_ci_hi,n_source,n_others
bbq:c0,0.1,bbq,Empathy and Assertiveness Direction,False,0.0,0.012203565505804311,-0.012203565505804311,-0.011363636363636364,-0.026515151515151516,0.0,38,264,0.0356939697265625,-0.0035950756072998047,0.0392890453338623,0.0392890453338623,0.025851789236068724,0.05362701725959777,100,400
bbq:c0,0.3,bbq,Empathy and Assertiveness Direction,False,0.0,0.01373134328358209,-0.01373134328358209,-0.011363636363636364,-0.026515151515151516,0.0,38,264,0.0804510498046875,-0.02038996696472168,0.10084101676940918,0.10084101676940918,0.07679428434371949,0.12571880555152892,100,400
bbq:c0,0.5,bbq,Empathy and Assertiveness Direction,False,0.0,0.012064676616915423,-0.012064676616915423,-0.011363636363636364,-0.026515151515151516,0.0,38,264,0.14044677734375,-0.03477625846862793,0.17522303581237791,0.17522303581237791,0.14055686926841734,0.21297093653678897,100,400
bbq:c0,1.0,bbq,Empathy and Assertiveness Direction,False,0.0,0.025536898839137644,-0.025536898839137644,-0.022727272727272728,-0.041666666666666664,-0.007575757575757576,38,264,0.2638623046875,-0.0722461986541748,0.3361085033416748,0.3361085033416748,0.2660255312919617,0.4058053715229034,100,400
gsm_mc:c0,0.1,gsm_mc,Reward Model Efficacy,False,0.014925373134328358,0.005,0.009925373134328359,0.010670053985392187,-0.01276595744680851,0.04477611940298507,67,235,0.00514801025390625,0.012404031753540039,-0.007256021499633789,-0.007256021499633789,-0.02248947238922119,0.008487657546997068,100,400
gsm_mc:c0,0.3,gsm_mc,Reward Model Efficacy,False,0.014925373134328358,0.021805555555555557,-0.006880182421227199,-0.006351222610352493,-0.03404255319148936,0.032010161956176564,67,235,0.0284765625,0.022638797760009762,0.005837764739990238,0.0058377647399902345,-0.01839932036399841,0.027847697257995605,100,400
gsm_mc:c0,0.5,gsm_mc,Reward Model Efficacy,False,0.014925373134328358,0.015,-7.462686567164152e-05,0.002159415687519848,-0.02553191489361702,0.0405208002540489,67,235,0.04414794921875,0.03841496467590332,0.005732984542846681,0.005732984542846681,-0.027252933502197266,0.038020872354507435,100,400
gsm_mc:c0,1.0,gsm_mc,Reward Model Efficacy,False,0.014925373134328358,0.008333333333333333,0.006592039800995025,0.006414734836456017,-0.01702127659574468,0.0405208002540489,67,235,0.08832275390625,0.07581135749816893,0.012511396408081063,0.01251139640808105,-0.044997240781784055,0.06553701019287109,100,400
math_mc:c0,0.1,math_mc,Mathematical Problem Solving Quality,False,0.0,0.005,-0.005,-0.004405286343612335,-0.013215859030837005,0.0,75,227,-0.01613128662109375,-0.0036171483993530282,-0.012514138221740722,-0.012514138221740724,-0.029534779191017147,0.0032828630208969075,100,400
math_mc:c0,0.3,math_mc,Mathematical Problem Solving Quality,False,0.0,0.023782512874225364,-0.023782512874225364,-0.022026431718061675,-0.04405286343612335,-0.004405286343612335,75,227,-0.05876773834228516,-0.01464662551879883,-0.044121112823486325,-0.04412111282348633,-0.06903855443000793,-0.020997021675109865,100,400
