direction_id,direction_source_dataset,direction_component,direction_label,direction_is_global_baseline,target_dataset,alpha,clean_margin_bin,n_examples,n_base,flip_rate,flip_rate_ci_lo,flip_rate_ci_hi,mean_delta_margin,mean_delta_margin_ci_lo,mean_delta_margin_ci_hi,mean_clean_margin,mean_adv_margin
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,sgxs,0.1,"[1.0,2.0)",29,14,0.0,0.0,0.0,0.003771551724137931,-0.014291487068965516,0.02183459051724137,0.004310344827586207,0.008081896551724138
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,bbq,0.3,<0.25,8,3,0.0,0.0,0.0,0.06640625,0.015625,0.12016601562499996,-0.017578125,0.048828125
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,gsm_mc,0.3,<0.25,9,3,0.3333333333333333,0.0,0.841666666666659,0.0002712673611111111,-0.04874403211805555,0.05115152994791665,-0.050944010416666664,-0.05067274305555555
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,math_mc,0.3,<0.25,9,4,0.0,0.0,0.0,0.015407986111111112,-0.0050021701388888885,0.034722222222222224,-0.016710069444444444,-0.0013020833333333333
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,mmlu,0.3,<0.25,10,6,0.0,0.0,0.0,-0.00972900390625,-0.05936553955078125,0.034577941894531235,0.05638427734375,0.0466552734375
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,sgxs,0.3,<0.25,22,14,0.14285714285714285,0.0,0.35714285714285715,0.008522727272727272,-0.019211647727272727,0.032670454545454544,0.03977272727272727,0.048295454545454544
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,bbq,0.3,>=2.0,30,7,0.0,0.0,0.0,0.1281494140625,0.0757025146484375,0.17540995279947913,-1.5321614583333334,-1.4040120442708333
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,gsm_mc,0.3,>=2.0,38,33,0.0,0.0,0.0,-0.05501516241776316,-0.08402308413856908,-0.023087672183388183,2.8564645867598686,2.8014494243421053
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,math_mc,0.3,>=2.0,51,46,0.0,0.0,0.0,-0.06754317938112746,-0.09608423569623162,-0.03718501072303923,3.7182377833946076,3.6506946040134802
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,mmlu,0.3,>=2.0,30,24,0.0,0.0,0.0,-0.054630406697591144,-0.09902840614318847,-0.010052264531453463,2.292295201619466,2.237664794921875
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,sgxs,0.3,>=2.0,7,5,0.0,0.0,0.0,-0.03794642857142857,-0.08482142857142858,0.004464285714285714,1.0602678571428572,1.0223214285714286
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,bbq,0.3,"[0.25,0.5)",9,4,0.0,0.0,0.0,0.04963853624131945,-0.006884256998697916,0.10790769788953992,-0.07527330186631945,-0.025634765625
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,gsm_mc,0.3,"[0.25,0.5)",9,2,0.0,0.0,0.0,0.013780381944444444,-0.02175835503472222,0.04993489583333331,-0.20225694444444445,-0.1884765625
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,math_mc,0.3,"[0.25,0.5)",4,0,0.0,,,0.04248046875,-0.0166015625,0.13818359375,-0.333251953125,-0.290771484375
